,ef_id,category_ipcc_1996,category_ipcc_2006,gas,description,region,value_original,unit_original,value_canonical,unit_canonical,equation,technical_reference,source_of_data,data_provider
21522,328849,"4 - Agriculture
4B - Manure Management
4B8 - Swine
","3.A.2.h - Swine
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,7.7,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21523,328850,"4 - Agriculture
4B - Manure Management
4B8 - Swine
","3.A.2.h - Swine
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,5.5,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21524,328851,"4 - Agriculture
4B - Manure Management
4B8 - Swine
","3.A.2.h - Swine
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,8.7,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21541,328868,"4 - Agriculture
4B - Manure Management
4B8 - Swine
","3.A.2.h - Swine
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,8.6,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21542,328869,"4 - Agriculture
4B - Manure Management
4B8 - Swine
","3.A.2.h - Swine
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,6.5,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21543,328870,"4 - Agriculture
4B - Manure Management
4B8 - Swine
","3.A.2.h - Swine
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,9.5,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21560,328887,"4 - Agriculture
4B - Manure Management
4B8 - Swine
","3.A.2.h - Swine
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,4.6,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21561,328888,"4 - Agriculture
4B - Manure Management
4B8 - Swine
","3.A.2.h - Swine
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,3,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21562,328889,"4 - Agriculture
4B - Manure Management
4B8 - Swine
","3.A.2.h - Swine
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,5.5,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21579,328906,"4 - Agriculture
4B - Manure Management
4B9 - Poultry
","3.A.2.i - Poultry
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,14.9,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21580,328907,"4 - Agriculture
4B - Manure Management
4B9 - Poultry
","3.A.2.i - Poultry
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,14.3,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21581,328908,"4 - Agriculture
4B - Manure Management
4B9 - Poultry
","3.A.2.i - Poultry
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,15.7,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21598,328925,"4 - Agriculture
4B - Manure Management
4B9 - Poultry
","3.A.2.i - Poultry
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,13.2,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21599,328926,"4 - Agriculture
4B - Manure Management
4B9 - Poultry
","3.A.2.i - Poultry
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,11.6,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21600,328927,"4 - Agriculture
4B - Manure Management
4B9 - Poultry
","3.A.2.i - Poultry
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,14.6,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21617,328944,"4 - Agriculture
4B - Manure Management
4B9 - Poultry
","3.A.2.i - Poultry
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,13.2,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21618,328945,"4 - Agriculture
4B - Manure Management
4B9 - Poultry
","3.A.2.i - Poultry
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,6.8,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21619,328946,"4 - Agriculture
4B - Manure Management
4B9 - Poultry
","3.A.2.i - Poultry
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,18.9,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21636,328963,"4 - Agriculture
4B - Manure Management
4B9 - Poultry
","3.A.2.i - Poultry
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,17.7,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21637,328964,"4 - Agriculture
4B - Manure Management
4B9 - Poultry
","3.A.2.i - Poultry
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,17.6,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21638,328965,"4 - Agriculture
4B - Manure Management
4B9 - Poultry
","3.A.2.i - Poultry
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,Indian subcontinent,18.2,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21642,328969,"4 - Agriculture
4B - Manure Management
4B3 - Sheep
","3.A.2.c - Sheep
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,"Latin America, Africa, Middle East, Asia, Indian subcontinent",8.3,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"FAO (2017) Global Livestock Environmental Assessment Model v2.0. Data reference year 2010. Revision 4, June 2017, Rome, Italy: Food and Agriculture Organization of the United Nations.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21644,328971,"4 - Agriculture
4B - Manure Management
4B4 - Goats
","3.A.2.d - Goats
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,"Latin America, Africa, Middle East, Asia, Indian subcontinent",10.4,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,Calculations are detailed in Annex 10B.3 of the 2019 Refinement,"2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21646,328973,"4 - Agriculture
4B - Manure Management
4B6 - Horses
","3.A.2.f - Horses
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Volatile solid excretion rate,"Latin America, Africa, Middle East, Asia, Indian subcontinent",7.2,kg VS/1000 kg animal mass/day,,,Equation 10.22A in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"IPCC 2019, 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Calvo Buendia, E., Tanabe, K., Kranjc, A., Baasansuren, J., Fukuda, M., Ngarize, S., Osako, A., Pyrozhenko, Y., Shermanau, P. and Federici, S. (eds). Published: IPCC, Switzerland.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.13A - Default values for volatile solid excretion rate; Table 10A.5 - Default values of Live weights for animal categories.",IPCC
21977,329304,"4 - Agriculture
4B - Manure Management
4B1a - Dairy
","3.A.2.a.i - Dairy cows
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Maximum methane producing capacity for manure,"Latin America, Africa, Middle East, Asia, Indian subcontinent",0.24,m3/kg VS,,,Equation 10.23 in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"IPCC 2019, 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Calvo Buendia, E., Tanabe, K., Kranjc, A., Baasansuren, J., Fukuda, M., Ngarize, S., Osako, A., Pyrozhenko, Y., Shermanau, P. and Federici, S. (eds). Published: IPCC, Switzerland.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.16a - Default values for maximum methane producing capacity (Bo)",IPCC
21978,329305,"4 - Agriculture
4B - Manure Management
4B1a - Dairy
","3.A.2.a.i - Dairy cows
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Maximum methane producing capacity for manure,"Latin America, Africa, Middle East, Asia, Indian subcontinent",0.13,m3/kg VS,,,Equation 10.23 in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"IPCC 2019, 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Calvo Buendia, E., Tanabe, K., Kranjc, A., Baasansuren, J., Fukuda, M., Ngarize, S., Osako, A., Pyrozhenko, Y., Shermanau, P. and Federici, S. (eds). Published: IPCC, Switzerland.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.16a - Default values for maximum methane producing capacity (Bo)",IPCC
21983,329310,"4 - Agriculture
4B - Manure Management
4B1b - Non-Dairy
","3.A.2.a.ii - Other cattle
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Maximum methane producing capacity for manure,"Latin America, Africa, Middle East, Asia, Indian subcontinent",0.18,m3/kg VS,,,Equation 10.23 in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"IPCC 2019, 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Calvo Buendia, E., Tanabe, K., Kranjc, A., Baasansuren, J., Fukuda, M., Ngarize, S., Osako, A., Pyrozhenko, Y., Shermanau, P. and Federici, S. (eds). Published: IPCC, Switzerland.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.16a - Default values for maximum methane producing capacity (Bo)",IPCC
21984,329311,"4 - Agriculture
4B - Manure Management
4B1b - Non-Dairy
","3.A.2.a.ii - Other cattle
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Maximum methane producing capacity for manure,"Latin America, Africa, Middle East, Asia, Indian subcontinent",0.13,m3/kg VS,,,Equation 10.23 in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"IPCC 2019, 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Calvo Buendia, E., Tanabe, K., Kranjc, A., Baasansuren, J., Fukuda, M., Ngarize, S., Osako, A., Pyrozhenko, Y., Shermanau, P. and Federici, S. (eds). Published: IPCC, Switzerland.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.16a - Default values for maximum methane producing capacity (Bo)",IPCC
21986,329313,"4 - Agriculture
4B - Manure Management
4B2 - Buffalo
","3.A.2.b - Buffalo
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Maximum methane producing capacity for manure,"Latin America, Africa, Middle East, Asia, Indian subcontinent",0.1,m3/kg VS,,,Equation 10.23 in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"IPCC 2019, 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Calvo Buendia, E., Tanabe, K., Kranjc, A., Baasansuren, J., Fukuda, M., Ngarize, S., Osako, A., Pyrozhenko, Y., Shermanau, P. and Federici, S. (eds). Published: IPCC, Switzerland.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.16a - Default values for maximum methane producing capacity (Bo)",IPCC
21987,329314,"4 - Agriculture
4B - Manure Management
4B2 - Buffalo
","3.A.2.b - Buffalo
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Maximum methane producing capacity for manure,"Latin America, Africa, Middle East, Asia, Indian subcontinent",0.1,m3/kg VS,,,Equation 10.23 in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"IPCC 2019, 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Calvo Buendia, E., Tanabe, K., Kranjc, A., Baasansuren, J., Fukuda, M., Ngarize, S., Osako, A., Pyrozhenko, Y., Shermanau, P. and Federici, S. (eds). Published: IPCC, Switzerland.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.16a - Default values for maximum methane producing capacity (Bo)",IPCC
21992,329319,"4 - Agriculture
4B - Manure Management
4B8 - Swine
","3.A.2.h - Swine
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Maximum methane producing capacity for manure,"Latin America, Africa, Middle East, Asia, Indian subcontinent",0.45,m3/kg VS,,,Equation 10.23 in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"IPCC 2019, 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Calvo Buendia, E., Tanabe, K., Kranjc, A., Baasansuren, J., Fukuda, M., Ngarize, S., Osako, A., Pyrozhenko, Y., Shermanau, P. and Federici, S. (eds). Published: IPCC, Switzerland.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.16a - Default values for maximum methane producing capacity (Bo)",IPCC
21993,329320,"4 - Agriculture
4B - Manure Management
4B8 - Swine
","3.A.2.h - Swine
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Maximum methane producing capacity for manure,"Latin America, Africa, Middle East, Asia, Indian subcontinent",0.29,m3/kg VS,,,Equation 10.23 in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"IPCC 2019, 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Calvo Buendia, E., Tanabe, K., Kranjc, A., Baasansuren, J., Fukuda, M., Ngarize, S., Osako, A., Pyrozhenko, Y., Shermanau, P. and Federici, S. (eds). Published: IPCC, Switzerland.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.16a - Default values for maximum methane producing capacity (Bo)",IPCC
21995,329322,"4 - Agriculture
4B - Manure Management
4B9 - Poultry
","3.A.2.i - Poultry
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Maximum methane producing capacity for manure,"Latin America, Africa, Middle East, Asia, Indian subcontinent",0.39,m3/kg VS,,,Equation 10.23 in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"IPCC 2019, 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Calvo Buendia, E., Tanabe, K., Kranjc, A., Baasansuren, J., Fukuda, M., Ngarize, S., Osako, A., Pyrozhenko, Y., Shermanau, P. and Federici, S. (eds). Published: IPCC, Switzerland.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.16a - Default values for maximum methane producing capacity (Bo)",IPCC
21996,329323,"4 - Agriculture
4B - Manure Management
4B9 - Poultry
","3.A.2.i - Poultry
3 - Agriculture, Forestry, and Other Land Use
3.A - Livestock
3.A.2 - Manure Management
","METHANE
",Maximum methane producing capacity for manure,"Latin America, Africa, Middle East, Asia, Indian subcontinent",0.24,m3/kg VS,,,Equation 10.23 in Volume 4 of the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"IPCC 2019, 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Calvo Buendia, E., Tanabe, K., Kranjc, A., Baasansuren, J., Fukuda, M., Ngarize, S., Osako, A., Pyrozhenko, Y., Shermanau, P. and Federici, S. (eds). Published: IPCC, Switzerland.","2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Chapter 10, Table 10.16a - Default values for maximum methane producing capacity (Bo)",IPCC
